geneSet	description	link	size	overlap	expect	enrichmentRatio	pValue	FDR	overlapId
GO:1903047	mitotic cell cycle process	http://amigo.geneontology.org/amigo/term/GO:1903047	780	131	59.16217073944779	2.2142527625791226	0	0	#288;595;596;637;672;675;701;891;898;899;983;990;991;994;1019;1030;1063;1104;1164;1647;1820;1843;1869;1876;1908;2146;2273;2305;2770;3400;3479;3624;3832;3833;3978;4134;4171;4172;4173;4175;4176;4288;4605;4751;5347;5577;5579;5901;5933;6241;6242;6347;6491;6502;6659;6790;7023;7153;7272;7283;8260;8318;8480;9055;9088;9212;9232;9314;9319;9510;9525;9700;9833;9837;9928;10112;10133;10197;10309;10460;10783;10926;11004;11065;11170;11200;22974;23212;23310;23397;23594;24137;25886;26586;27338;29127;29980;51434;51512;51514;54443;54820;55143;55154;55159;55165;55388;55559;55722;55835;55920;57132;64151;65057;79075;79866;80174;81620;83540;84131;84722;84962;89958;90381;113130;128239;144455;146909;151648;203068;284403
GO:0051301	cell division	http://amigo.geneontology.org/amigo/term/GO:0051301	576	100	43.68898762297683	2.2889063226406323	2.220446049250313e-15	1.0049738818906917e-11	#288;595;675;701;891;898;899;983;990;991;994;1019;1020;1063;1104;1164;2247;2252;2254;2263;2770;2908;3357;3815;3832;3833;3978;4134;4674;4751;5228;5347;5500;5764;5901;5933;6242;6790;7153;7704;8480;8607;9055;9212;9232;9525;9700;9928;10096;10112;10309;10460;10726;10783;11004;11065;11200;22974;23111;23310;23397;23594;24137;26586;27338;29127;51176;51434;51490;54443;54478;54820;54892;55143;55165;55559;55835;55920;57132;64151;79866;80310;81620;81928;83461;83540;84722;85458;89958;113130;115098;144455;146909;147841;151246;151648;203068;221150;348995;387103
GO:0000278	mitotic cell cycle	http://amigo.geneontology.org/amigo/term/GO:0000278	916	137	69.47762615042843	1.9718578136704976	3.885780586188048e-15	1.1724695288724737e-11	#288;595;596;637;672;675;701;891;898;899;983;990;991;994;1019;1030;1063;1104;1164;1647;1820;1843;1869;1876;1908;2146;2273;2305;2770;3400;3479;3624;3832;3833;3978;4134;4171;4172;4173;4175;4176;4212;4288;4605;4751;5347;5577;5579;5901;5933;6241;6242;6347;6491;6502;6659;6790;7023;7153;7272;7283;8260;8318;8480;9055;9088;9099;9212;9232;9314;9319;9510;9525;9700;9833;9837;9928;10112;10133;10197;10309;10460;10783;10926;11004;11065;11170;11200;22974;23212;23310;23397;23594;24137;25886;26586;27338;29127;29980;51434;51512;51514;54443;54475;54820;55143;55154;55159;55165;55388;55559;55722;55835;55920;57132;64151;65057;79075;79866;80174;81620;83540;84131;84722;84962;87178;89958;90381;113130;128239;144455;146909;151648;203068;221150;284403;387103
GO:0022402	cell cycle process	http://amigo.geneontology.org/amigo/term/GO:0022402	1255	171	95.19041574103458	1.796399339878978	7.771561172376096e-15	1.7587042933087105e-11	#288;595;596;637;672;675;701;891;898;899;983;990;991;994;1019;1020;1030;1063;1104;1164;1647;1663;1820;1843;1869;1876;1908;2146;2177;2237;2273;2305;2648;2770;3400;3479;3624;3642;3832;3833;3978;4134;4171;4172;4173;4175;4176;4282;4288;4488;4605;4751;4760;4869;5036;5139;5347;5424;5425;5577;5579;5901;5933;5984;6241;6242;6347;6422;6491;6502;6659;6662;6790;7023;7057;7153;7272;7283;7314;7474;7732;8260;8313;8318;8480;8850;9055;9088;9156;9212;9232;9314;9319;9510;9525;9700;9833;9837;9928;10096;10112;10133;10197;10309;10460;10514;10669;10783;10919;10926;11004;11065;11170;11200;22974;23212;23310;23397;23594;24137;25788;25886;26586;27044;27338;29127;29980;51434;51512;51514;54443;54820;55143;55154;55159;55165;55388;55559;55722;55771;55835;55920;56159;57132;57418;64151;65057;79000;79075;79447;79866;80174;81620;83540;84131;84417;84722;84962;87178;89958;90381;113130;116028;128239;144455;146909;151246;151648;203068;220042;284403
GO:0044772	mitotic cell cycle phase transition	http://amigo.geneontology.org/amigo/term/GO:0044772	486	86	36.8625833068867	2.332988962928526	7.482903185973555e-14	1.2193683100273728e-10	#595;596;637;672;701;891;898;983;990;991;994;1019;1030;1063;1104;1164;1647;1820;1843;1869;1876;2146;2273;2305;3400;3624;4171;4172;4173;4175;4176;4751;5347;5577;5933;6241;6347;6502;6659;6790;7023;7272;7283;8318;9088;9212;9314;9319;9510;9525;9700;9833;9928;10133;10197;10460;10783;10926;11065;11170;11200;22974;23594;27338;29980;51434;51512;51514;54443;54820;55159;55388;55559;55722;55835;55920;79866;80174;81620;84131;84962;90381;113130;128239;144455;203068
GO:0010564	regulation of cell cycle process	http://amigo.geneontology.org/amigo/term/GO:0010564	680	108	51.5772770549032	2.093945360571007	8.08242361927114e-14	1.2193683100273728e-10	#595;596;637;672;675;701;891;898;899;983;990;991;994;1019;1020;1030;1063;1104;1647;1663;1820;1843;1869;1876;1908;2146;2237;2273;2305;2648;2770;3479;3642;3832;4282;4288;4488;4751;4760;4869;5139;5347;5577;5933;6241;6347;6422;6491;6659;6662;6790;7023;7272;7283;7474;7732;8260;8313;8318;8480;8850;9055;9088;9212;9232;9314;9319;9510;9525;9700;9928;10112;10197;10309;10460;10514;10783;10919;11065;11170;11200;22974;25886;27044;29127;29980;51434;51512;51514;54443;54820;55159;55559;55722;55835;55920;57132;79447;79866;80174;81620;84131;84722;90381;113130;116028;144455;203068
GO:0000819	sister chromatid segregation	http://amigo.geneontology.org/amigo/term/GO:0000819	183	46	13.880355442716597	3.3140361707478796	2.1960211427085596e-13	2.839769054828269e-10	#701;891;990;991;1063;1663;1843;2237;3833;4751;5347;5901;7153;7272;7283;8260;8313;9055;9212;9232;9319;9525;9700;9928;10460;10783;11004;23212;23310;23397;24137;29127;55143;55154;55165;57132;64151;79075;81620;83540;84722;113130;116028;146909;151246;151648
GO:0007059	chromosome segregation	http://amigo.geneontology.org/amigo/term/GO:0007059	308	63	23.361472548397334	2.6967478128565996	2.5779378631796135e-13	2.865292201035017e-10	#672;701;891;898;990;991;1063;1104;1663;1843;2177;2237;2908;3833;4288;4751;5347;5901;7153;7272;7283;8260;8313;9055;9212;9232;9319;9391;9525;9700;9928;10096;10460;10783;11004;23212;23310;23397;24137;29127;54820;55143;55154;55165;55355;55839;55920;56159;56271;57132;64151;79075;81620;83540;84722;113130;116028;146909;151246;151648;221150;348995;387103
GO:0140014	mitotic nuclear division	http://amigo.geneontology.org/amigo/term/GO:0140014	278	59	21.086004443033957	2.798064477288462	2.8488322811881517e-13	2.865292201035017e-10	#595;701;891;898;899;990;991;1063;1104;1843;1908;3479;3832;3833;4288;4605;4751;5347;5901;6790;7272;7283;8260;9055;9088;9212;9232;9319;9525;9700;9928;10309;10460;10783;11004;11065;11200;22974;23212;23310;23397;24137;27338;29127;54443;54820;55143;55154;55165;57132;64151;79075;79866;81620;83540;84722;113130;146909;151648
GO:0044770	cell cycle phase transition	http://amigo.geneontology.org/amigo/term/GO:0044770	524	88	39.74484290701364	2.214123734389473	8.142375662600898e-13	7.370478449786334e-10	#595;596;637;672;701;891;898;983;990;991;994;1019;1030;1063;1104;1164;1647;1820;1843;1869;1876;2146;2273;2305;3400;3624;4171;4172;4173;4175;4176;4751;4869;5347;5577;5933;6241;6347;6502;6659;6790;7023;7272;7283;8318;9088;9212;9314;9319;9510;9525;9700;9833;9928;10133;10197;10460;10783;10926;11065;11170;11200;22974;23594;27338;29980;51434;51512;51514;54443;54820;55159;55388;55559;55722;55835;55920;79447;79866;80174;81620;84131;84962;90381;113130;128239;144455;203068
